Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,6.650000095367432,6.699999809265137,6.550000190734863,6.599999904632568,6.3752546310424805,1062400
2021-12-21,6.650000095367432,6.650000095367432,6.5,6.550000190734863,6.3269572257995605,919100
2021-12-22,6.599999904632568,6.599999904632568,6.5,6.550000190734863,6.3269572257995605,646100
2021-12-23,6.599999904632568,6.650000095367432,6.5,6.5,6.278659820556641,1315500
2021-12-24,6.550000190734863,6.550000190734863,6.400000095367432,6.400000095367432,6.182065010070801,2751100
2021-12-27,6.449999809265137,6.550000190734863,6.400000095367432,6.400000095367432,6.182065010070801,1269400
2021-12-28,6.449999809265137,6.550000190734863,6.400000095367432,6.400000095367432,6.182065010070801,1383800
2021-12-29,6.5,6.550000190734863,6.400000095367432,6.449999809265137,6.230362415313721,2899600
2021-12-30,6.449999809265137,6.800000190734863,6.400000095367432,6.449999809265137,6.230362415313721,6980600
2022-01-04,6.5,6.599999904632568,6.449999809265137,6.599999904632568,6.3752546310424805,1905300
2022-01-05,6.599999904632568,6.699999809265137,6.550000190734863,6.650000095367432,6.4235520362854,2901500
2022-01-06,6.650000095367432,6.949999809265137,6.5,6.900000095367432,6.6650390625,10870300
2022-01-07,6.949999809265137,6.949999809265137,6.5,6.650000095367432,6.4235520362854,6587100
2022-01-10,6.699999809265137,6.75,6.5,6.5,6.278659820556641,3007100
2022-01-11,6.5,6.650000095367432,6.5,6.599999904632568,6.3752546310424805,1971800
2022-01-12,6.599999904632568,6.650000095367432,6.5,6.5,6.278659820556641,2158000
2022-01-13,6.550000190734863,6.599999904632568,6.5,6.5,6.278659820556641,1870600
2022-01-14,6.5,6.599999904632568,6.5,6.550000190734863,6.3269572257995605,1147900
2022-01-17,6.550000190734863,6.599999904632568,6.449999809265137,6.5,6.278659820556641,2821300
2022-01-18,6.550000190734863,6.550000190734863,6.400000095367432,6.400000095367432,6.182065010070801,2200600
2022-01-19,6.5,6.5,6.349999904632568,6.349999904632568,6.133768081665039,1590900
2022-01-20,6.400000095367432,6.449999809265137,6.300000190734863,6.300000190734863,6.085470676422119,1194700
2022-01-21,6.300000190734863,6.349999904632568,6.0,6.150000095367432,5.940578460693359,6341500
2022-01-24,6.199999809265137,6.449999809265137,6.199999809265137,6.349999904632568,6.133768081665039,4844200
2022-01-25,6.300000190734863,6.349999904632568,6.050000190734863,6.099999904632568,5.8922810554504395,2954000
2022-01-26,6.150000095367432,6.199999809265137,6.099999904632568,6.099999904632568,5.8922810554504395,625300
2022-01-27,6.050000190734863,6.099999904632568,5.949999809265137,5.949999809265137,5.74738883972168,2297600
2022-01-28,6.0,6.099999904632568,6.0,6.050000190734863,5.8439836502075195,528900
2022-01-31,6.050000190734863,6.099999904632568,6.0,6.050000190734863,5.8439836502075195,637400
2022-02-01,6.050000190734863,6.150000095367432,6.050000190734863,6.150000095367432,5.940578460693359,489300
2022-02-02,6.150000095367432,6.449999809265137,6.099999904632568,6.449999809265137,6.230362415313721,2054100
2022-02-03,6.550000190734863,6.699999809265137,6.449999809265137,6.449999809265137,6.230362415313721,7922300
2022-02-04,6.550000190734863,6.550000190734863,6.449999809265137,6.5,6.278659820556641,1432600
2022-02-07,6.5,6.5,6.300000190734863,6.300000190734863,6.085470676422119,2339700
2022-02-08,6.300000190734863,6.400000095367432,6.25,6.300000190734863,6.085470676422119,929400
2022-02-09,6.300000190734863,6.349999904632568,6.150000095367432,6.150000095367432,5.940578460693359,1978600
2022-02-10,6.199999809265137,6.599999904632568,6.150000095367432,6.5,6.278659820556641,9932400
2022-02-11,6.400000095367432,6.449999809265137,6.050000190734863,6.099999904632568,5.8922810554504395,6151300
2022-02-14,6.099999904632568,6.150000095367432,6.0,6.099999904632568,5.8922810554504395,1714300
2022-02-15,6.099999904632568,6.099999904632568,6.0,6.050000190734863,5.8439836502075195,1395300
